,Name,EmployeeNumber,PhoneNumber,JobRole,WorkLocation,Salary,Username,Password,EmployeeManager
0,David Glass,1,(028)-592-0251,Sales Executive,MA,71916,DavGlass1,Password123,644
1,Aaron Gutierrez,2,(319)-223-8150,Research Scientist,NY,61560,AarGutierrez2,Password123,851
2,Rachel Hardy,4,(685)-228-8793,Laboratory Technician,CT,25080,RacHardy4,Password123,323
3,Matthew Smith,5,(946)-756-6192,Research Scientist,MD,34908,MatSmith5,Password123,1408
4,Terry Smith,7,(235)-620-1447,Laboratory Technician,NY,41616,TerSmith7,Password123,1973
5,Daniel Rose,8,(339)-942-5657,Laboratory Technician,MN,36816,DanRose8,Password123,625
6,Tanya Aguilar,10,(014)-819-3973,Laboratory Technician,MD,32040,TanAguilar10,Password123,410
7,Michael Parsons,11,(372)-354-6875,Laboratory Technician,MD,32316,MicParsons11,Password123,1280
8,Michael Baxter,12,(219)-073-0274,Manufacturing Director,MD,114312,MicBaxter12,Password123,664
9,Alyssa Cox,13,(464)-645-1364,Healthcare Representative,CT,62844,AlyCox13,Password123,1866
10,Frank Barber,14,(488)-968-0974,Laboratory Technician,MD,29112,FraBarber14,Password123,1595
11,Jeffrey Castillo,15,(563)-779-5878,Laboratory Technician,NY,50316,JefCastillo15,Password123,809
12,Jeffrey Hernandez,16,(813)-891-2932,Research Scientist,CT,34932,JefHernandez16,Password123,1892
13,Manuel Campbell,18,(562)-965-1958,Laboratory Technician,CT,31932,ManCampbell18,Password123,298
14,Craig Adams,19,(072)-476-7088,Laboratory Technician,MN,24336,CraAdams19,Password123,1973
15,Tammy Johnson,20,(558)-008-8595,Manufacturing Director,NY,119760,TamJohnson20,Password123,253
16,Caitlin Nielsen,21,(266)-847-2630,Research Scientist,NY,39576,CaiNielsen21,Password123,363
17,Christy Hicks,22,(842)-308-2697,Laboratory Technician,MA,35220,ChrHicks22,Password123,1595
18,Dr. John,23,(207)-366-7087,Manager,MA,185124,Dr.John23,Password123,NaN
19,Emily Gonzalez,24,(691)-083-3754,Research Scientist,NY,47328,EmiGonzalez24,Password123,1124
20,Samantha Hernandez,26,(239)-695-2252,Manufacturing Director,MD,48132,SamHernandez26,Password123,264
21,Wayne Hall,27,(635)-888-8077,Sales Representative,MA,40884,WayHall27,Password123,473
22,Kristy Avery,28,(592)-407-3602,Research Director,MD,143928,KriAvery28,Password123,1124
23,Melissa Johnson,30,(640)-602-4666,Research Scientist,NY,14784,MelJohnson30,Password123,531
24,John Johnson,31,(848)-153-8411,Research Scientist,CT,35520,JohJohnson31,Password123,1256
25,Robert Mcguire,32,(964)-176-5222,Manager,MD,229128,RobMcguire32,Password123,NaN
26,Timothy Johnson,33,(139)-730-0392,Research Scientist,NY,47028,TimJohnson33,Password123,1786
27,Kara Rodriguez,35,(178)-101-2326,HR,NY,81900,KarRodriguez35,Password123,1204
28,Christopher Munoz,36,(564)-697-5194,Healthcare Representative,NY,122976,ChrMunoz36,Password123,1786
29,Nichole Johnson,38,(128)-364-8266,Manager,CT,227364,NicJohnson38,Password123,NaN
30,Samuel Taylor,39,(966)-490-2699,Laboratory Technician,MN,29952,SamTaylor39,Password123,1676
31,Kristi Sanchez,40,(900)-480-4135,Healthcare Representative,CT,77580,KriSanchez40,Password123,558
32,Kelsey Best,41,(052)-716-3114,Laboratory Technician,NY,26472,KelBest41,Password123,1578
33,Mike Martin,42,(306)-543-4068,Sales Representative,MA,25032,MikMartin42,Password123,981
34,Amy Jones,45,(413)-190-1548,Research Scientist,CT,27516,AmyJones45,Password123,1591
35,Michelle Matthews,46,(830)-526-4835,Research Scientist,NY,31740,MicMatthews46,Password123,2022
36,Rachael Middleton,47,(033)-376-1064,Sales Representative,MD,32196,RacMiddleton47,Password123,981
37,Bobby Walter,49,(923)-567-8848,Sales Representative,CT,24168,BobWalter49,Password123,1900
38,William Morales,51,(698)-254-6859,Research Scientist,NY,41028,WilMorales51,Password123,597
39,Russell Henry,52,(492)-675-3379,Sales Executive,MA,64512,RusHenry52,Password123,734
40,Christine Lambert,53,(953)-370-8399,Laboratory Technician,MN,23412,ChrLambert53,Password123,1336
41,Jerome Cooper,54,(200)-101-9346,Laboratory Technician,MD,28092,JerCooper54,Password123,376
42,Karen Smith,55,(569)-786-0493,Laboratory Technician,MD,27516,KarSmith55,Password123,1740
43,Steven Lindsey,56,(081)-569-4133,HR,CT,104712,SteLindsey56,Password123,1866
44,Rhonda Dillon,57,(911)-726-7196,Laboratory Technician,CT,48132,RhoDillon57,Password123,976
45,Aaron Smith,58,(680)-762-5761,Research Director,NY,234540,AarSmith58,Password123,809
46,Carolyn Duncan,60,(340)-425-7505,Sales Executive,MA,54816,CarDuncan60,Password123,259
47,Ashlee Huynh,61,(690)-228-1298,Research Scientist,MA,36264,AshHuynh61,Password123,1516
